Paese,Data,ID_Ordine,Sku,Quantita,Categoria,Ambito,Titolo,Prezzo_unitario,Prezzo_tot,Mese
France,2025-09-01 01:49:28,1000585,C79X0ET,1,Laptops,Business,Station de travail mobile HP ZBook Fury G1i 16 pouces,3197.22,3197.22,Settembre
France,2025-09-01 23:17:07,1000656,6N4E8AA,1,Monitors,Business,Écran HP E22 G5,169.92,169.92,Settembre
France,2025-09-02 01:21:37,1000704,6N4E8AA,1,Monitors,Business,Écran HP E22 G5,169.92,169.92,Settembre
France,2025-09-02 05:52:43,1000748,A10MSEA,1,Desktops,Business,HP ProStudio 4 All-in-One G1i 23.8 inch Desktop AI PC,1210.45,1210.45,Settembre
France,2025-09-02 17:59:17,1000745,A23GWEA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 460 G11 16"" - Extension de garantie 3 ans incluse",860.16,860.16,Settembre
France,2025-09-02 17:59:17,1000745,A23R2EA,1,Laptops,Business,"PC Portable professionnel IA HP ProBook 4 G1i 14""",1209.6,1209.6,Settembre
France,2025-09-02 17:59:17,1000745,8T0T6EA,1,Laptops,Business,"Station de travail portable HP ZBook Power G11 16"" - NVIDIA RTX™ A1000 & Extension de garantie 3 ans incluse",2347.49,2347.49,Settembre
France,2025-09-02 22:09:53,1000724,8T1N0EA,1,Desktops,Business,HP Z2 G9 Tour,1830.17,1830.17,Settembre
France,2025-09-03 00:27:23,1000664,A0ZB2EA,1,Desktops,Business,HP Elite 800 G9  SFF,1435.39,1435.39,Settembre
France,2025-09-03 04:41:35,1000757,7Z9X6EA,14,Laptops,Home,PC Portable HP 15-fc0070nf,649.0,9086.0,Settembre
France,2025-09-03 06:46:25,1000652,9M4J1AT,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1q,1639.7,1639.7,Settembre
France,2025-09-03 07:38:04,1000711,A27C6EA,1,Laptops,Business,PC Portable Professionnel  IA 2 en 1 HP EliteBook 8 Flip G1i,1924.45,1924.45,Settembre
France,2025-09-03 17:22:44,1000627,C78T7ET,1,Laptops,Business,Station de travail mobile HP ZBook 8 G1ak 14 pouces HP Wolf Pro Security Edition,1659.55,1659.55,Settembre
France,2025-09-04 05:52:55,1000746,97Y27EA,1,Desktops,Home,Tout-en-un HP 27-cr0042nf,999.0,999.0,Settembre
France,2025-09-04 08:26:20,1000626,A0ZG1EA,1,Desktops,Business,HP EliteStudio 8 All-in-One G1i 23.8 inch Desktop AI PC  Wolf Pro Security Edition,1921.92,1921.92,Settembre
France,2025-09-04 09:38:15,1000676,BG7K3EA,2,Laptops,Home,PC Portable IA HP OmniBook 7 17-dc0002nf,1299.0,2598.0,Settembre
France,2025-09-04 09:38:56,1000758,A27CDEA,1,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1a 14 pouces HP Wolf Pro Security Edition,1357.78,1357.78,Settembre
France,2025-09-04 13:59:07,1000635,BE6V5EA,2,Laptops,Home,PC Portable Gaming OMEN MAX 16-ak0007nf - NVIDIA® GeForce RTX™ 5080,3049.0,6098.0,Settembre
France,2025-09-04 15:11:59,1000639,B5KE9EA,1,Desktops,Home,PC Tout en un HP 24-cr0074nf,899.0,899.0,Settembre
France,2025-09-04 16:07:03,1000628,9H6V7ET,1,Desktops,Business,Ordinateur tout-en-un HP ProOne 440 G9,1095.36,1095.36,Settembre
France,2025-09-05 01:20:37,1000606,94F44AA,1,Monitors,Home,Écran Full HD 27 pouces HP Série 5 - 527sf,119.99,119.99,Settembre
France,2025-09-05 02:30:21,1000591,BP4R8EA,1,Laptops,Home,PC Portable Gaming OMEN 16-am0053nf - NVIDIA GeForce RTX 5060,1349.0,1349.0,Settembre
France,2025-09-05 04:49:22,1000582,A40RMET,1,Desktops,Business,HP Z2 Mini G1a,2257.62,2257.62,Settembre
France,2025-09-05 11:07:13,1000708,A0ZF5EA,1,Desktops,Business,HP EliteStudio 8 All-in-One G1i 23.8 inch Desktop AI PC  Wolf Pro Security Edition,1478.4,1478.4,Settembre
France,2025-09-05 14:23:28,1000644,5M9Y1EA,1,Desktops,Business,HP Elite Mini 800 G9,1935.25,1935.25,Settembre
France,2025-09-06 07:36:49,1000657,A23KDEA,1,Laptops,Business,"PC Portable Professionnel HP EliteBook 640 G11 14"" - Extension de garantie 3 ans incluse",1192.46,1192.46,Settembre
France,2025-09-06 09:00:47,1000736,B6SL9EA,1,Desktops,Home,PC de Bureau IA HP OmniDesk M03-0000nf,1199.0,1199.0,Settembre
France,2025-09-06 09:14:36,1000618,9S1M9EA,8,Desktops,Home,Tout-en-un HP 24-cr0009nf,999.0,7992.0,Settembre
France,2025-09-06 11:41:32,1000756,A27C3EA,1,Laptops,Business,HP EliteBook 8 G1i 14 inch Notebook AI PC Wolf Pro Security Edition,1682.52,1682.52,Settembre
France,2025-09-06 13:16:24,1000696,780G8AA,1,Monitors,Home,Écran OMEN 27k - 27'' UHD - AMD FreeSync™ HDR,400.0,400.0,Settembre
France,2025-09-06 13:48:29,1000678,A0ZG3EA,1,Desktops,Business,PC fixe IA HP EliteDesk 8 format tour G1i HP Wolf Pro Security Edition,1250.63,1250.63,Settembre
France,2025-09-06 15:38:21,1000710,BG7Q8EA,1,Laptops,Home,PC Portable IA 2 en 1 HP OmniBook X Flip 16-ar0000nf - écran OLED 120 Hz,1299.0,1299.0,Settembre
France,2025-09-07 09:35:20,1000642,94F48AA,1,Monitors,Home,Écran avec hauts parleurs HP Series 5 27 ' FHD  - 527sa,130.0,130.0,Settembre
France,2025-09-07 09:36:56,1000755,94F44AA,1,Monitors,Home,Écran Full HD 27 pouces HP Série 5 - 527sf,119.99,119.99,Settembre
France,2025-09-07 12:34:33,1000723,639T7EA,2,Desktops,Home,Victus by HP 15L TG02-0141nf - NVIDIA® GeForce RTX™ 3060,1499.0,2998.0,Settembre
France,2025-09-07 12:43:55,1000705,9M4J1AT,2,Laptops,Business,PC portable IA nouvelle génération HP EliteBook 6 G1q,1639.7,3279.4,Settembre
France,2025-09-07 16:36:36,1000604,A23KQEA,1,Laptops,Business,"PC Portable Professionnel HP ProBook 465 G11 16"" - Extension de garantie 3 ans incluse",981.12,981.12,Settembre
France,2025-09-07 16:50:35,1000695,AJ4Z1EA,2,Laptops,Home,PC Portable HP Laptop 15-fc0090nf,999.0,1998.0,Settembre
